sentiment,message,tweetid
1,RT @7im: Aaaand @ScottWalker just eliminated all references to global warming in Wisconsin ,814547316258512896
0,RT @annelongfield: Know any budding young climate change TV reporters? ,955607502699290625
-1,@SenSanders Mainly because climate change has been going on for millions of years and will continue to do so. If yoâ€¦ ,959276999603716101
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798860441870970883
1,willingly sacrificing common courtesy in order to fight my elders about climate change,953371679799070721
1,Trump has no regard for the environment. He doesn't even believe climate change is real,796559585406550016
1,Trump begins tearing up Obama's years of progress on tackling climate change ,846677317409681408
0,"True global warming would mean every year would be warmer than the previous, huh? ",953204508330377217
2,Documentary explores how #climate change is impacting Yosemite: CBS News ,845619764558901248
2,RT @BeyondCoal: Granddaughter of coal breaker becomes local leader against climate change ,859073930904170496
2,RT @Telegraph: #BREAKING: President Trump has reportedly decided to pull out of the Paris climate change agreement…,869889330742951936
2,"RT @BillMoyersHQ: 2/3rds of American children are not being taught the facts on climate change, a new study shows. #MorningReads ",698520741583548416
1,RT @mercedesmfdez: Kicking- off #Climathon and brainstorming on new ideas to solve climate change with @RosaChapel ,924652708560297984
2,RT @p_hannam: Two degrees too soon? Temp spike fan #climate change fears ,713211887584813056
1,Go Bernie ,661985919810068480
1,"RT @AJPapworth: Important paper in @nature #climatechange #adaptation

The five linked domains of adaptive capacity to climate change: asseâ€¦",957607044630110209
1,RT @voxdotcom: 'Why aren’t politicians doing more on climate change? Maybe because they’re so old.' ,886077378920927232
-1,"RT @Gdestefano95: She$q$s almost at the end of Obama$q$s choke-chain! A certain bombastic, climate change blowhard is in the bullpen. ",735517841613557760
1,Everyone must watch #BeforetheFlood. Great documentary produced by @LeoDiCaprio &amp; his team showing effects of climate change. Eye-opening,793194536608595969
1,@HuffingtonPost Denying drug use exists among welfare recipients is as crazy as a republican denying climate change.,805436380679585792
0,@seanhannity im telling u obama is behind it cuz global warming issues. 2 in matter of weeks. We've never had thisÃ¢â‚¬Â¦ ,793423438543151104
